brand,model_name,major_category,search_used,note
chevrolet,더 넥스트 스파크,hatchback,False,"Derived from Chevrolet Spark, a subcompact hatchback."
chevrolet,더 뉴 말리부,sedan,False,
chevrolet,더 뉴 스파크,hatchback,True,The user wants mapping only. We have answer.
chevrolet,더 뉴 아베오,hatchback,False,"Based on class trims (L, LS, LT) and level name '1.4 터보 해치백' indicating hatchback body style."
chevrolet,더 뉴 카마로 SS,coupe_convertible,False,"Chevrolet Camaro SS is a 2-door coupe, categorised under coupe_convertible."
chevrolet,더 뉴 트랙스,suv,False,
chevrolet,더 뉴 트레일블레이저,suv,False,Chevrolet Trailblazer is sold in Korea as a compact/subcompact SUV crossover.
chevrolet,리얼 뉴 콜로라도,truck,False,쉐보레 콜로라도는 중형 픽업트럭 모델
chevrolet,말리부,sedan,False,Chevrolet Malibu is a midsize 4-door sedan.
chevrolet,볼트 (VOLT),hatchback,False,Chevrolet Volt (EREV) is a 5-door compact hatchback body style.
chevrolet,스파크,hatchback,False,Chevrolet Spark is a subcompact 5-door hatchback model.
chevrolet,아베오,unknown,True,공식·참고 자료에서 아베오는 소형 세단과 해치백 두 가지 차체로 모두 판매됨; 단일 안정적 차체로 특정하기 어려움
chevrolet,어메이징 뉴 크루즈,sedan,True,공식·위키 자료에서 크루즈는 준중형 세단으로 분류됨(국내에 5도어 해치백도 있었으나 모델의 기본 차체는 세단).
chevrolet,올 뉴 말리부,sedan,False,쉐보레 말리부는 중형급 4도어 세단 모델
chevrolet,올 뉴 카마로 SS,coupe_convertible,False,Camaro is a two-door sports/muscle coupe; SS is a trim level.
chevrolet,올 뉴 콜로라도,truck,False,Chevrolet Colorado is a midsize pickup truck model
chevrolet,올 뉴 크루즈,sedan,False,국내 판매된 올 뉴 크루즈는 4도어 중형 세단
chevrolet,올란도,van,False,쉐보레 올란도는 5~7인승 MPV(다목적 미니밴)로 판매된 모델
chevrolet,이쿼녹스,suv,False,쉐보레 이쿼녹스는 공식적으로 컴팩트 SUV 모델
chevrolet,임팔라,sedan,False,Chevrolet Impala is a full-size sedan model.
chevrolet,카마로,coupe_convertible,False,Chevrolet Camaro is a two-door sports coupe/convertible model
chevrolet,캡티바,suv,False,GM코리아에서 판매된 캡티바는 중형급 SUV 모델로 분류됨
chevrolet,콜로라도,truck,False,쉐보레 콜로라도는 중형 픽업트럭 모델
chevrolet,콜벳,coupe_convertible,False,Chevrolet Corvette is a sports car offered as coupe and convertible depending on generation.
chevrolet,크루즈,sedan,False,한국 쉐보레 크루즈는 주력 차체가 준중형 세단이며 5도어 해치백도 병행 판매됨; 모델 단위로는 세단으로 분류
chevrolet,타호,suv,False,쉐보레 타호는 대표적인 풀사이즈 SUV 모델
chevrolet,트래버스,suv,False,쉐보레 트래버스는 3열 중대형 SUV 모델
chevrolet,트랙스,suv,False,쉐보레 트랙스는 공식적으로 소형 SUV(서브컴팩트 SUV)로 판매된 모델
chevrolet,트랙스 크로스오버,suv,False,쉐보레 트랙스 크로스오버는 소형 SUV(크로스오버) 모델
chevrolet,트레일블레이저,suv,False,한국 GM에서 소형 SUV(크로스오버)로 판매되는 트레일블레이저 모델
hyundai,LF쏘나타,sedan,False,"LF쏘나타는 현대 쏘나타 LF 세대로, 중형 세단 모델"
